Plot,BigSurPlot,SiteID,OriginalSampleYear,Forest.Type,,,,,,,,,,,BurnSurvey,Basin,Chalk,,BARCseverity,CBI.mean,CBI.Int,CBI.Big,,,,,2009plot,2010plot,,,,,,,,,,,,,,,,,ownership,,,,,owner,own_category,,GPS.Device,Zone,Easting,Northing,Error.GPS,Averaged.points.GPS,Elevation,TMI,Slope,Plot.Aspect,Overall.Aspect,RoadLocationCategory,RoadUse,Landscape.Location,PlotNotes,Landuse.history,,,,,,,,,,Pram.0607,Pnem.0607,Ppseudo.0607,neg.isolation.0607,Pram2009,Psp2009,neg.isolation.09,samp.notes09,PCR.2009,isol.PCR.09,transect.09,Pram2010,Pnem2010,Ppseudo2010,,neg.isolation.10,PCRnotes10,PCR.10,isol.PCR.10,transect.10,Pram2011,Pnem2011,Ppseudo2011,,neg.isolation.11,Pram2013,Pnem2013,Ppseudo2013,,neg.isolation.13,,,,,,,,,,,,,,,,
130,BS130,BSPC,2006,2,,0,,,,1,0,,,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,1,1,,1,,,1,,,,,,,,,,,,2,yes,yes,yes,Palo Corona; Ranch Road,MPRPD,4,"MPRPD; Palo Corona. Enter Palo Carona by driving up Carona road which is on the north side of the gas station in Carmel Highlands on Route 1.The first gate is a large automated gate, red, the combo: 4321, drive slowly up on this private road, you come to a 2nd gate large, red, metal it is a combination lock: 2468. Drive on past large house to the right. the road turns to dirt past the house. Pass a small pond on the left. the road you want is small. It is the 2nd left where you can see a small green metal gate which is the enterance to Palo Carona, the combination lock is: 4204. Drive strait on that rough 4x4 road until you arrive at a large open area w/ a road junction. The road junction is called Chavoty. Head left/strait toward ranch home. Go past enterance to ranch. From the enterance to the ranch continue 0.7mi through and old, open, wooden, gate and ~0.1mi more. Park under redwood tree on left side/uphill side of road. There will be a grassy meadow leading to big SESE's in drainage on your right side. Head down into creek, into large open SESE grove. Plot surrounds creek. Open grassy meadow to S.SW of plot.",UCD Trimble,10,599965.39,4039512.37,6.3,yes,242,9.628781319,3.5,355,355,4,4,riparian ,"Turkey feathers and poop in plot. Mud ~4' up on these trees from previous flooding. Probable SPOW feather in plot. Creek right through plot. Very open. Huge trees, deep duff. We categorized surface water cover = category 3 (>5-15%)","Old homestead site was nearby, although it looks like this area was spared from heavy use. see plot 128 for more detailed directions and land use history for this area.",1,2006,,,11,2,2,2,2,1,,,0,,,1,,1,1,,1,,,,0,,,,,,,,,,1,,,,0,2,,,,,,2,P. cactorum & Elongisporangium,,,,,,,,
131,BS131,BSPC,2006,2,,0,,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,1,1,,1,,,1,,,,,,,,,,,,2,yes,yes,yes,Palo Corona; Ranch Road,MPRPD,4,"MPRPD; Palo Corona. Enter Palo Carona by driving up Carona road which is on the north side of the gas station in Carmel Highlands on Route 1.The first gate is a large automated gate, red, the combo: 4321, drive slowly up on this private road, you come to a 2nd gate large, red, metal it is a combination lock: 2468. Drive on past large house to the right. the road turns to dirt past the house. Pass a small pond on the left. the road you want is small. It is the 2nd left where you can see a small green metal gate which is the enterance to Palo Carona, the combination lock is: 4204. Drive strait on that rough 4x4 road (Main Road) until you arrive at a large open area w/ a road junction. The road junction is called Chavoty. Head strait or Left on the main road past the ranch. Take the main road past the ranch house to northern part of PC. Go through 2 flowing creeks @ 2nd creek park just beyond. Mileage from Ranch enterance to 2nd creek 1.2mi. Walk to where road crosses creek and S up ridge (~100UTM meters) thorugh SESE forest. Plot is at top where slope flattens out. Be careful not to trample the clintonia on the way up, they are very sensitive.",UCD Trimble,10,600199,4040061,6,,223,5.31800127,25,309,309,1,4,mid-slope,"Half of plot has wide open understory. Close by , large thickets of VAOV, many of which are falling over as they get older. SESE along ridge are stunted.","Smaller SESE have fire char- maybe more recently burned, by humans?",1,2013,,,5,2,1,1,1,,,,1,,,1,missing PCR TBS sample from #9,1,1,,,,,,1,,,,,,,,,,1,,,,0,4,,,,,,,,,,,,,,,
132,BS132,BSMOON,2006,1,,1,,1,1,1,0,,1,1,1,1,0,0,2,2.35,1.875,1.875,0,1,3,"1939, 2008, 2016",1,,1,,1,1,,1,,1,,,0,,0,0,0,0,2,yes,yes,yes,Mescal Ridge/ via Moon Property,USFS / Moon,1,"USFS. via Moon property. need 4x4. Out the Old Coast Road starting from Bixby Bridge. Go about 3 miles? you will come into a flat area w/ alders on either side. See green gate on the left hand side of road, no other gates are on this side of the road. Get combination from the Moon's for the gate. Go up dirt road past 2 driveways heading off to your left, you will drive past a newer barn (2008) immediately on your left, continue on. The road will go right below and past old Chapman house and into a dense patch of large redwoods. the road will leave the redwood habitat and enter into an open area where there is an old corral area below the road, but the road makes a hair pin turn up to the right, heading up into the grasslands. It is very steep here.  Once up in the grasslands you will crest the ridge in a small saddle. Head to your right around Bonfacio Hill (there is a repeator and antennae on top). After you round Bonfacio, it will now be on your left (north) side, there is a road that heads around the base of the peak. Take that road, very narrow and steep, down into forest and chapparal. Plot is after wet seep in road. Park where there is no grass for Fire prevention/safety. Walk down grassy mouth out to flat wooded knowl. Plot is on E side toward creek. If it is open enough drive past road and east out onto knob. you can follow that knob down to the road last mentioned, cross over and find the plot on your left. it is not a far walk from the base of Bonfacio to the plot. the road from the base of Bonfacio is not traveled consistantly so it may not be in very good shape as the years pass. ",UCD Trimble,10,602278.80,4023369.55,3.5,yes,538,6.891999722,30,71,71,1,4,mid-slope,"Polypody fern looks very symptomatic, bad in here. Steep draw. See data sheet for small diagram of where plot is.","cattle near by. Grass looks cut by non mechanical means, weird piles everywhere.",1,2006,1,1,11,,2,,,1,,,0,,,1,"culture negative, pcr positive but only 1 + of 26",0,0,,,,1,,0,,,,,1,1,1,,0,,,,,,,,,1,,"0, PCR",,,,,,,,,,
133,BS133,BSMOON,2006,1,,1,,1,1,0,1,,,,0,1,0,0,"1,2",N/A,N/A,N/A,0,1,3,"1939, 2008, 2016",,,,,,,,,,,,,,,,,,,2,,yes,yes,Mescal Ridge/ via Moon Property,USFS / Moon,1,"USFS. via Moon Property. need 4x4.Out the Old Coast Road starting from Bixby Bridge. Go about 3 miles? you will come into a flat area w/ alders on either side. See green gate on the left hand side of road, no other gates are on this side of the road. Get combination from the Moon's for the gate. go past main house on right. At landing/junction take hard right turn on road that leads toward Bonafacio Hill. Follow road from junction to next intersection- a 4 way crossroad.Park. Head out road that leads to S. As walk along, plot is on SW side of ""road"" downslope.",Bart,10,602996,4023653,8,,653,6.799839497,26,102,102,2,2,upper-slope,"Not much disease in plot, although a pocket of disease down in the canyon. Drier than other areas on the Moons.","Grazed area, definitely cow patties. Also pig signs nearby.",1,2006,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,BS134,BSMOON,2006,2,,1,,1,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,,,,,1,,,,1,,,,,,,,2,,no,yes,Mescal Ridge/ Moon property,Moon,3,"Moon. need 4x4. Out the Old Coast Road starting from Bixby Bridge. Go about 3 miles? you will come into a flat area w/ alders on either side. See Moon's green gate on the left hand side of road, no other gates are on this side of the road. Get combination from the Moon's beforehand. Once on the Moon Property, Park in Redwoods near main house. Past spring down slope from road.",Bart,10,602094.00,4023991.00,9,,513,6.901368618,27,304,304,2,4,lower-slope," Turkey's seen in area previously. Much disease in areas surrounding plot. Very good Phytophthora symptoms on SESE. Good amount of dwd, SESE branches on the ground, which do not make it into our cwd survey.",Area was logged.,1,2006,,,11,2,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,BS135,BSMOON,2006,2,,1,,1,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,,,,,,,,,,,,,,,,,2,,yes,yes,Mescal Ridge/ via Moon Property,USFS / Moon,1,"USFS. via Moon property. need 4x4. Old Coast Road from Bixby Bridge to Moon Property on the left, ~3miles out. Out driveway past old chapman house up to Bonfacio Hill. Road heads south through grasslands. And down into forest and chapparal. Park only where there is no grass for Fire prevention/safety Past wet seep in road is BS132.. Continue on same road past 132. At some point in a grassy area the road forks- take the lower road to the left. Continue past 1st drainage w/ SESE (Can park and turnaround here) to the 2nd drainage. Walk down north side of drainage by slide (Steep!). Plot is on S side of drainage Very  large dom, multistemmed UMCA is at edge of plot.",Bart,10,601498,4023708,7,,433,11.78695679,27,300,265,2,4,upper-slope,Getting to plot is very steep. Tons of infection on bays. SESE sprouts and seedlings all look VERY diseased. Sm. spring at lower part of plot. Patch of forest in draw.,Definte logging in area and plot. Old logging road adjacent and below plot,1,2006,,,11,2,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,BS137,BSLS,2006,2,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,,,,,,,,,,,,,,,,,1,,yes,recommended,Old Coast Road,USFS,1,"USFS. Old Coast Road; starting from Bixby Bridge. Go about 3 miles? you will come into a flat area w/ alders on either side. See Moon's green gate on the left hand side of road, no other gates are on this side of the road. Past Moon gate ~200m along Old Coast Road. See turn out on right divided by large redwoods from road. Old trail heads up from parking area. Into open flatish area. Large redwoods, large multi stemmed bay in plot.",Bart,10,600907.00,4023125.00,23,,258,11.95398903,18,72,72,1,5,mid-slope,"Very dense understory, may have missed seedlings. ",Old overgrown trail going through plot,1,2006,,,11,2,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,BS138,BSSLP,2006,1,,0,,,,1,1,1,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,1,,,,,,,,,,,,,,,,,,2,yes,yes,no,Rancho San Carolos Road,SLC,4,"Santa Lucia Conservancy. Out Carmel Valley Road to Rancho San Carlos road. At stop light go right. make prior arrangements to be in there. Once past main gate w/ attandents on main road head strait up into preserve. Past the first marked paved turnout, where Palo Carona/MPRPD lands butts up against SLP property on the right; continue another 1/2 mile to the next marked, paved turnout and park. From that turnout, head due west about 200M from the parking area walking on the grassy areas and head down toward the draw. Cross over the draw staying high up on the hillside, there is a little use trail to follow. Follow the grassy area all the way down & @ ~75M you can see an small eroded area, like a run off area, head down into the forest from there. There are redwoods on the other side of the draw which is really steep when you get down there. See small diagram on data sheet.",UCD Trimble,10,601774.26,4039619.68,2.9,yes,291,8.63112545,26,226,273,2,6,riparian,"Vegetation dense and intact. Redwoods nearby, near not flowing draw. All bays had a bunch of sooty mold",old cow pies in grassy area. No evidence in plot. Pig wallow near by but not in plot. ,1,2006,1,,11,,2,,,1,,,0,,,1,,1,1,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,BS139,BSSLP,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,,,,,,,,,,,,,,,,,2,,yes,no,Rancho San Carolos Road,SLC,4,Santa Lucia Conservancy. Out Carmel Valley Road to Rancho San Carlos road. At stop light go right. make prior arrangements to be in there. Once past main gate w/ attandents on main road head strait up into Santa Lucia preserve. Be sure to park off grass and only on pavement during the summer or whenever the grass is dry here. Along main road park at small driveway before the road to Mittledorf. Plot is back up the road toward the gate ~300m. There will be a grassy knob to your left as you walk through the grassland. There is a power pole to the southeast of the plot. The pole is at the edge of the forest and grassland. The plot is at the base of the knob in the forest on the road side of the knob. ,Bart,10,601842.00,4039028.00,9,,294,7.398926258,11,352,310,4,6,riparian,"Lots of ""old mans beard"" or spanish moss in here. It may be why the infection level designated by ross was a 1 rather than a 0, because all the trees looked healthy. Small game trail that goes over a very small but VERY steep and deep draw on the east side of the plot.  there are two odd very large burms in the plot that lead to very slow, practically standing water.",,1,2006,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,BS140,BSSLP,2007,2,,1,,1,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,1,1,,1,,1,1,,,1,,,,,,,,,2,yes,yes,no,Van Winkley's Spur Trail,SLC,4,"Santa Lucia Conservancy. Be sure to make prior arrangements to visit the Preserve. they are really helpful you just need to give them a heads up. Drive a few miles out Carmel Valley road to Rancho San Carlos Road (@ a stop light), go right. Drive over bridge and right afterward the SLP office is on your right, stop in on your first day to say hello. Go back out to main road and turn right. continue strait, past the golf course and past the tennis club both on your left. Proceed to the big gatehouse and check in w/the people there. Typically they give you a tag to hang in your car. Make sure you NEVER park off the pavement, they are VERY worried about starting fires. Look at the map before heading out to be sure you wont need the combination for any gates. Out Van Winkley's spur trail (follow purple posts). Begins right before road to Williams Canyon (BSLT,Mittledorf). Trail on SLP map ends. You come to an unmaintained part of old logging road of a trail w/a fence post marking end of trail. Keep walking past that marker(~270m). Plot is on left/east side of creek as you face upstream.",UCD Trimble,10,601463.56,4038058.16,5.6,yes,293,5.774781704,15.5,320,21,4,1,riparian,"difficult GPS reception under huge SESE. Creek is just outside plot. Open understory LIDE-SESE forest narrowly along drainage. Habitat changes rapidly as you head up out of drainage into QU forest then chapparal. Kept tape low to ground when going uphill side. Pulled the tape tight for measurments to the bay tagged #962, 57degrees @12.6m to the front of the tree. Nice little creek @ edge of plot, flowing right now.  lots of flagged out LIDE all along trail.","followed old logging road up here. Therefore, logging evidence.",1,2007,1,,11,2,2,2,2,1,,,0,1,,0,,0,0,,1,,,,0,,,,,,,,,,1,,,1,PCR,3,,,,,,3,"P.ram, P.cactorum, P.pseudosyringae",,,,,,,,
141,BS141,BSSLP,2006,1,,1,,1,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,1,,1,,1,1,,1,,1,,,,,,,,,2,yes,yes,no,"Williams Canyon Road, to Mittledorf.",SLC,4,"Santa Lucia Conservancy. Out Carmel Valley Road to Rancho San Carlos road. At stop light go right. make prior arrangements to be in there. Once past main gate w/ attandents on main road head strait up into Santa Lucia preserve. The road out to Mittledorf is Williamson Canyon Road. After you go all the way up on top of the ridge the road will head down and twist and turn until you are again in another field. There will be a signed dirt road on your right, called Williamson Canyon Road. Head out this road. Drive 0.3mi and you'll see one of the wooden posts w/a red band on your right (creek side) @ a wide spot in the road. Carefully park here allowing for large vehicles to pass on the road. walk back down the road toward the paved road ~200m, (or @ 0.25mi from the gate) and head down into the creek from here. Plot is uphill, above the creek ~20m up.",UCD Trimble,10,602030.00,4038130.86,2.4,yes,276,9.349700928,40,37,37,1,4,upper-slope,Area is getting hit hard by SOD.  Hard to see seedlings in here due to thick ground vegetation. May have missed some seedlings.  No SESE in the plot but in SESE habitat so designated veg type=2. Area is in a bit of an opening.,"Designated Fire frequency was 0, but there were documented cased of burnt stumps and fire scars in this plot.",1,2006,1,,11,,2,,,1,,,0,1,,0,,0,0,,,,,,,,,,,1,,,,0,,,,,,,1,,,,"0, PCR",4,Globisporangium,,,,,,,,
144,BS144,BSSLP,2007,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,1,1,1913,,,,,,,,,,,,,,,,,,,2,,yes,no,Rancho San Carolos Road,SLC,4,"Santa Lucia Conservancy. Be sure to make prior arrangements to visit the Preserve. they are really helpful you just need to give them a heads up. Drive a few miles out Carmel Valley road to Rancho San Carlos Road (@ a stop light), go right. Drive over bridge and right afterward the SLP office is on your right, stop in on your first day to say hello. Go back out to main road and turn right. continue strait, past the golf course and past the tennis club both on your left. Proceed to the big gatehouse and check in w/the people there. Typically they give you a tag to hang in your car. Make sure you NEVER park off the pavement, they are VERY worried about starting fires. Look at the map before heading out to be sure you wont need the combination for any gates. From main road (before Chamisal Pass turnoff) turn left onto road (not driveway) that quickly dead ends at a turn-around. Park. Walk up ridge to the N  (plot is actually on top of left ridge as you look uphill). Plot is on edge of grassland. You can get on the left ridge immediately and walk along ridge through grass and under oaks (less poak).",UCD Trimble,10,605922.15,4036546.71,3.6,yes,488,5.201299191,32,190,190,1,4,upper-slope,"Most herbs in plot are dead already. Very difficult to ID grasses at this stage and to get a good idea of the representative cover. Only called plants litter if it was detached from ground.  Loose soil in plot. Very open woodland- Beautiful! Tree with a canker looks possible, but no UMCA or LIDE in area. Termites in a lot of trees. Densiometer readings taken directly below the canopy of a QUAG, so very high measures.",,,,,,X,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,BS146,BSPC,2006,1,,1,,1,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,1,,1,,1,1,,1,,1,,,,,,,,,2,yes,yes,yes,Palo Corona; upper Malpaso Creek ,MPRPD,4,"MPRPD; Palo Corona. Enter Palo Carona by driving up Carona road which is on the north side of the gas station in Carmel Highlands on Route 1.The first gate is a large automated gate, red, the combo: 4321, drive slowly up on this private road, you come to a 2nd gate large, red, metal it is a combination lock: 2468. Drive on past large house to the right. the road turns to dirt past the house. Pass a small pond on the left. the road you want is small. It is the 2nd left where you can see a small green metal gate which is the enterance to Palo Carona, the combination lock is: 4204. Drive strait on that rough 4x4 road until you arrive at a large open area w/ a road junction. The road junction is called Chavoty. Head right uphill along the Main Ridge Road. Through an unlocked gated, wooden corral and continue on until you reach the upper ridge (past Seneca drainage) but before PC peak and before intersection with Mittledorf road (Van Winkley Rd). (Ridge Road is callled White Rock on some maps). There is a spur road (called Upper Malpaso Trough trail on the GIS) the spur road dead ends on map. You can drive just a little ways on that road to get you a bit closer, but you might want to scout ahead a little ways first to make sure it's ok, no where to turn around until the end and not maintained anymore. Use the excellent GPS coverage to find the spot where you walk down into forest about 150 meters.",UCD Trimble,10,600963.73,4035905.02,5.5,yes,704,6.447161675,35,356,330,2,4,upper-slope,High infection of disease in area. Very open understory. Game trail running through plot. ,Game trails. No major evidence of fire. ,1,2006,1,,11,,2,,,1,,,0,1,,0,,0,0,,,,,,,,,,,1,,,,0,,,,,,,1,,,,"0, PCR",2,P.syringae,,,,,,,,
147,BS147,BSPC,2006,2,,1,,1,,1,0,,,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,1,1,,1,,1,1,,,1,,,,,,,,,2,yes,yes,yes,"Palo Corona; Chavoty, Malpaso Creek Road",MPRPD,4,"MPRPD; Palo Corona. Enter Palo Carona by driving up Carona road which is on the north side of the gas station in Carmel Highlands on Route 1.The first gate is a large automated gate, red, the combo: 4321, drive slowly up on this private road, you come to a 2nd gate large, red, metal it is a combination lock: 2468. Drive on past large house to the right. the road turns to dirt past the house. Pass a small pond on the left. the road you want is small. It is the 2nd left where you can see a small green metal gate which is the enterance to Palo Carona, the combination lock is: 4204. Drive strait on that rough 4x4 road until you arrive at a large open area w/ a road junction. The road junction is called Chavoty. Head right, uphill, along the Main Ridge Road. Through an unlocked gated, wooden corral.  Park here off the main road. Follow the road to the right that heads down to Mal Paso Creek (called Malpaso Creek Road on the GIS). Before you get into the redwoods you'll see the road make a sharp bend to the East. See the first QUAG's to your right, head off old road under the QUAG's. Head down this ridge almost to the creek, ~120m SouthWest into steep drainage.Mainly LIDE with SESE. Large UMCA near center.",UCD Trimble,10,599733.18,4036743.43,4.0,yes,399,15.58455849,36,223,320,2,1,lower-slope,"Steep plot! Pretty severly infected LIDE understory. Everything is flagged out. When re-sampling, know that this plot was done with just JV taking measurements so things may be less precise than desired.",Evidence of fire on SESE. Logging in area. Piles of Split rails in and adjacent to plot. Contaced MPRPD about these.,1,2006,1,,11,2,2,2,2,1,,,0,1,,0,,0,0,,1,,,,0,,,,,,,,,,1,,,,0,2,,,,,,2,P.nemorosa,,,,,,,,
148,BS148,BSPC,2006,1,,1,,1,,1,0,,,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,1,,,,,,,1,,,1,,2,,,,1,2,2,yes,yes,yes,Palo Corona; Main Ridge Road,MPRPD,4,"MPRPD, Palo Corona. From Mittledorf, drive past barn along Headwater road to junction with Border Link Trail (onto Palo Corona) follow Border Link trail to junction with White Rock Rd. Head S after junction. Drive through open area and park soon after enter forest again  Walk through barbed wire fence and sidehill to SW. Alternatively you can come in from the Carmel Highlands and go along the Main Ridge Road.",UCD Trimble,10,601146.88,4034805.87,10.3,yes,870,6.90972662,28,262,248,2,4,upper-slope,"Looks like SOD on LIDE, but not much. Not many UMCA in area. Somewhat loose soil.",Animal trail/possibly cowboy fence trail runs through upper plot. Also barbed wire fence at top of plot. Fence is possibly boundary between Mittledorf and Palo Corona.,1,2006,1,,11,,2,,,1,,,0,1,,0,only one culture positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,BS149,BSPC,2006,1,,1,,1,,1,0,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,,,,,,,,,1,,1,,,,,1,2,,yes,yes,Palo Corona; Main Ridge Road,MPRPD,4,"MPRPD, Palo Corona. Enter Palo Carona by driving up Carona road which is on the north side of the gas station in Carmel Highlands on Route 1.The first gate is a large automated gate, red, the combo: 4321, drive slowly up on this private road, you come to a 2nd gate large, red, metal it is a combination lock: 2468. Drive on past large house to the right. the road turns to dirt past the house. Pass a small pond on the left. the road you want is small. It is the 2nd left where you can see a small green metal gate which is the enterance to Palo Carona, the combination lock is: 4204. Drive strait on that rough 4x4 road until you arrive at a large open area w/ a road junction. The road junction is called Chavoty. Take a right onto the main Ridge Rd to main road that runs along ridge between Palo Corona and Mittledorf. (called White Rock Rd on some maps)  Park car right before labeled ""Palo Corona Peak"" on Topo. Walk down abandoned Doud Rd to the west ~~600m. On the north side of the road come to a large patch of PTAQ. Cut through this to the N and downslope.",UCD Trimble,10,600638,4034715,4,,759,6.269273281,22,18,18,2,1,upper-slope,Very open forest with very little understory. Lots of Lide mortality in area as well as infected UMCA.,Doud Rd is abandoned,1,2006,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,BS150,BSPC,2006,1,,1,,1,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,1,,1,1,,1,,1,,,,,,,,,2,yes,yes,yes,Palo Corona; Main Ridge Road,MPRPD,4,"MPRPD, Palo Corona. Enter Palo Carona by driving up Carona road which is on the north side of the gas station in Carmel Highlands on Route 1.The first gate is a large automated gate, red, the combo: 4321, drive slowly up on this private road, you come to a 2nd gate large, red, metal it is a combination lock: 2468. Drive on past large house to the right. the road turns to dirt past the house. Pass a small pond on the left. the road you want is small. It is the 2nd left where you can see a small green metal gate which is the enterance to Palo Carona, the combination lock is: 4204. Drive strait on that rough 4x4 road until you arrive at a large open area w/ a road junction. The road junction is called Chavoty. Take a Right onto the main road that runs along ridge between Palo Corona and Mittledorf (White Rock Rd). Just Past PC Peak, get to open grassy area with patch of woodland downhill to the W. Plot is in here with beginning of drainage to the N of plot and open area to the W.",UCD Trimble,10,601495,4034205,5,,854,8.279417038,23,265,255,2,4,upper-slope,"Beautiful Forest! BIG Trees with open understory. Later in season so many of the grasses and herbs have died. Not only more difficult to ID, but also cover changes as they dry out. UMCA samples look ""okay"" for Pram. Maybe another Pyhtophthora but also some sun scorch. Densiometer readings are offset 2 meters W due to UMCA hanging right over center.",No evidence of fire.,1,2011,,,7,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,PCR,4,Globisporangium,,,,,,,,
151,BS151,BSMITT,2006,2,,1,,1,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,,,,,,,,,,BSLT,,,,,,,2,2,yes,yes,Mittledorf/ Headwaters Road,BSLT,4,"BSLT; Mittledorf.  Go in through Santa Lucia Preserve, must gain access each time you go in here. You'll need to talk to the guards at the gathouse. Drive out Williams Canyon Road, it will be a right off of the pavement. You will also have to contact the BSLT to get the combination for the Williams Canyon gate. Drive to the end of the road, you will see a sign pointing to the right to get to the Mittledorf Lodge.At Mittledorf, drive past barn on Headwaters road untill get to first major sharp curve in road around drainage. Park. Walk along east side of drainage untill get to minor drainage. Walk down this to confluence with main. Plot is here right in center of drainage, slightly more on N slope. Center of plot is on a large downed SESE across creek. Downed SESE is tagged 565 right at center.",Bart,10,602922,4035849,10,,490,14.29811382,10,280,280,2,4,lower-slope,"Drainage runs right through plot. Small confluence in plot actually forms an ""island"" which the plot center is on.Large downed SESE thorugh center of plot (tagged at center). Lots of soil and debris buildup in places from moving water. Still water in August",Evidence of SESE logging in area,1,2006,,,11,2,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,BS152,BSMITT,2006,2,,1,,1,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,,,,,,,,,,BSLT,,,,,,,2,,yes,yes,Mittledorf,BSLT,4,"BSLT; Mittledorf.  Go in through Santa Lucia Preserve, must gain access each time you go in here. You'll need to talk to the guards at the gathouse. Drive out Williams Canyon Road, it will be a right off of the pavement. You will also have to contact the BSLT to get the combination for the Williams Canyon gate. Drive to the end of the road, you will see a sign pointing to the right to get to the Mittledorf Lodge. Park at main parking area right before bridge to lodge (where road splits). Either go back down road and head up first drainage or walk up to barn and head down drainage from there.Plot is on W side of drainage. Actually, did not realize but road cut is at very edge of plot!!",Bart,10,602869,4036357,6,,389,7.598407745,18,50,345,3,4,lower-slope,loose soil/duff layer. Large Emergent SESE just outside of plot. Did not realize plot was so close to road when began.,"Plot is right below barn and right next to road, probably a lot of disturbance. Road cut makes edge of plot. Evidence of logging.",1,2006,,,11,2,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,BS156,BSLS,2007,2,,1,,1,1,1,0,,1,1,1,1,0,0,2,2.375,2.375,2,0,0,2,"2008, 2016",1,,,,,,1,,,,,,,,,,,,1,yes,yes,yes,Pico Blanco Public Camp,USFS,1,"USFS. Little Sur Watershed; Get permission from Boy Scouts of America first and get gate code for gate @ Botchers Gap (will have to go once there are not any boys down there anymore, after labor day). 8mi out Palo Colorado to Botchers Gap. Need 4x4, From Botchers Gap, go through gate, drive down to Boy Scout camp (~3mi), across the Little Sur River and park (parking lot below mess hall). Up Cardiac Hill which starts along dirt road behind big mess hall (kitchen). Up past water tanks see wooden sign pointing right toward Pico Blanco camp. Once you get to the top of Cardiac Hill continue on a little farther and see a sign pointing toward Pico Blanco Camp. Come to a large shelf, grassy and then the trail starts to head down. Head down and continue to Pico Blanco Public camp. From the Northern most site head into the forest staying high up on the hillside. You'll pass over a sort of draw/slide that is really rocky w/bays. Just pas here you will come to the plot. Be looking ahead for tagged SESE's. Plot is where you see a cliff on the opposite side of the creek. Beautiful SESE plot. Open and beautiful.",UCD Trimble,10,607465.65,4018706.97,5,yes,403,5.825897694,34,120,185,2,2,lower-slope,Beautiful SESE habitat @ base of huge cliff. Open understory. Deep duff. Big trees. Dead LIDE's flagged out above the plot. No evidence of previous logging. @ 27degrees and 48degrees dead LIDE's. One very small ~20cm stump in plot but again does not appear logged. wide spaced trees. UMCA symptoms dont look fresh. lots of down cwd! big trees high canopy.,,1,2007,,,11,2,2,,,1,,,0,,,1,only MB sampling results & transect sample results,none,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
